Time              Gyro_X     Gyro_Y     Gyro_Z    Accel_X    Accel_Y    Accel_Z
372657.002700    0.01684    0.06675    0.22254   -0.16880   -0.02339    9.82029
372657.012700    0.11791    0.14307    0.50495   -0.16784   -0.01351    9.82555
372657.022700    0.01169   -0.05013    0.24007   -0.17322   -0.01721    9.81561
372657.032700    0.01937    0.14278    0.46518   -0.17194   -0.02204    9.82242
372657.042700    0.09534    0.12399    0.36371   -0.15946   -0.01904    9.82773
372657.052700   -0.07620    0.07265    0.29255   -0.16508   -0.00548    9.81871
372657.062700    0.02865    0.17968    0.30928   -0.16583   -0.02101    9.80921
372657.072700    0.16484    0.17395    0.36549   -0.16496   -0.02175    9.83382
372657.082700    0.18077    0.12261    0.16410   -0.17276   -0.00339    9.80943
372657.092700    0.11161    0.00372    0.36692   -0.16466   -0.02007    9.82239
372657.102700    0.00613    0.09677    0.30877   -0.17027   -0.00782    9.82729
372657.112700    0.16902    0.14553    0.23955   -0.16766   -0.00575    9.81515
372657.122700    0.15676    0.13923    0.26746   -0.17397   -0.02560    9.82245
372657.132700   -0.09540    0.22781    0.26660   -0.16901   -0.01102    9.82625
372657.142700    0.21606   -0.01982    0.19165   -0.17230   -0.01191    9.81699
372657.152700    0.04887    0.17916    0.19962   -0.16863   -0.01162    9.81841
372657.162700    0.00086    0.25709    0.21457   -0.16513   -0.01303    9.82127
372657.172700    0.16593    0.10766    0.24591   -0.17438   -0.00575    9.81052
372657.182700    0.07265    0.02704    0.26241   -0.17466   -0.01538    9.82843
372657.192700    0.12519    0.08182    0.33948   -0.17124   -0.01767    9.83094
372657.202700    0.03140    0.27714    0.36652   -0.17463   -0.01001    9.80699
372657.212700    0.01839    0.13212    0.33214   -0.15635   -0.02596    9.82742
372657.222700    0.15178    0.12256    0.35031   -0.16965    0.00336    9.82542
372657.232700   -0.00178    0.05873    0.28012   -0.17225   -0.01380    9.81629
372657.242700    0.13379    0.11012    0.27118   -0.17187   -0.02354    9.83634
372657.252700    0.04738    0.21560    0.13465   -0.16611   -0.01705    9.82522
372657.262700    0.03214    0.16868    0.29060   -0.18131   -0.02211    9.82029
372657.272700   -0.04389    0.08136    0.35105   -0.16467   -0.01574    9.83269
372657.282700    0.06411    0.11287    0.35025   -0.17131   -0.01881    9.81954
372657.292700    0.00877    0.08434    0.31707   -0.17060   -0.01406    9.82271
372657.302700   -0.10313    0.09282    0.26900   -0.16423   -0.01850    9.83450
372657.312700    0.12536    0.13270    0.24666   -0.17304   -0.00881    9.82125
372657.322700    0.04704    0.11436    0.02722   -0.16884   -0.02196    9.81529
372657.332700   -0.07311    0.10714    0.21308   -0.17326   -0.02138    9.83062
372657.342700    0.06119    0.05088    0.35758   -0.16404   -0.00504    9.82013
372657.352700   -0.04481   -0.05529    0.20758   -0.17212   -0.02193    9.82598
372657.362700    0.13041    0.15120    0.23955   -0.16058   -0.01729    9.82272
372657.372700    0.23783    0.03604    0.48845   -0.17895   -0.00014    9.82083
372657.382700    0.06589    0.09150    0.23417   -0.16677   -0.02164    9.81599
372657.392700    0.10623    0.08222    0.28476   -0.16846   -0.01768    9.82773
372657.402700    0.07139   -0.06440    0.17097   -0.16529   -0.01574    9.81879
372657.412700   -0.14765   -0.00040    0.37804   -0.16733   -0.02184    9.82027
372657.422700    0.02063    0.10949    0.16576   -0.16392   -0.01388    9.83839
372657.432700    0.09786    0.13619    0.29610   -0.17102   -0.01057    9.81020
372657.442700    0.10078    0.13321    0.38978   -0.16461   -0.02775    9.83102
372657.452700    0.19114    0.20712    0.03799   -0.16483   -0.00656    9.83013
372657.462700    0.17000    0.08216    0.31902   -0.16164   -0.01839    9.81560
