
Project:     run2
Program:     Inertial Explorer Version 9.00.2207
Profile:     ARLI_IMU_BIASES
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      C:\Users\pleba\Documents\gnss_course\run2\run2.cts
ProcessInfo: run2 by Unknown on 4/24/2026 at 09:12:41

Datum:       ETRS89
Master 1:    Name BUDD00DNK, Status ENABLED
             Antenna height 2.694 m, to ARP [LEIAR25.R4(LEIT)]
             Lat, Lon, El Hgt 55 44 19.91720, 12 29 59.84215, 87.941 m [ETRF2000, 2024.003]
Remote:      Antenna height 0.000 m, to L1PC [Generic(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=0.000, y=0.000, z=0.000 m (x-right, y-fwd, z-up)
Body to IMU Rotations:
             xRot=0.000, yRot=0.000, zRot=0.000 degrees

  GPSTime      AccBiasX      AccBiasY      AccBiasZ    GyroDriftX    GyroDriftY    GyroDriftZ
    (sec)       (m/s^2)       (m/s^2)       (m/s^2)       (deg/s)       (deg/s)       (deg/s)
372658.10  -3.64663E-03   1.18288E-02   9.50980E-03   8.59171E-02   7.86677E-02   2.49810E-01
372658.10  -3.64663E-03   1.18289E-02   9.50980E-03   8.59171E-02   7.86677E-02   2.49811E-01
372658.11  -3.64663E-03   1.18289E-02   9.50980E-03   8.59171E-02   7.86677E-02   2.49811E-01
372658.11  -3.64662E-03   1.18289E-02   9.50980E-03   8.59171E-02   7.86677E-02   2.49811E-01
372658.12  -3.64662E-03   1.18289E-02   9.50980E-03   8.59171E-02   7.86677E-02   2.49811E-01
372658.12  -3.64661E-03   1.18289E-02   9.50980E-03   8.59171E-02   7.86677E-02   2.49811E-01
372658.13  -3.64661E-03   1.18289E-02   9.50980E-03   8.59171E-02   7.86677E-02   2.49811E-01
372658.13  -3.64661E-03   1.18290E-02   9.50980E-03   8.59171E-02   7.86677E-02   2.49811E-01
372658.14  -3.64660E-03   1.18290E-02   9.50980E-03   8.59171E-02   7.86677E-02   2.49811E-01
372658.14  -3.64660E-03   1.18290E-02   9.50981E-03   8.59171E-02   7.86677E-02   2.49811E-01
372658.15  -3.64659E-03   1.18290E-02   9.50981E-03   8.59172E-02   7.86677E-02   2.49811E-01
372658.15  -3.64659E-03   1.18290E-02   9.50981E-03   8.59172E-02   7.86677E-02   2.49811E-01
372658.16  -3.64659E-03   1.18291E-02   9.50981E-03   8.59172E-02   7.86677E-02   2.49811E-01
372658.16  -3.64658E-03   1.18291E-02   9.50981E-03   8.59172E-02   7.86677E-02   2.49812E-01
372658.17  -3.64658E-03   1.18291E-02   9.50981E-03   8.59172E-02   7.86677E-02   2.49812E-01
372658.17  -3.64657E-03   1.18291E-02   9.50981E-03   8.59172E-02   7.86677E-02   2.49812E-01
372658.18  -3.64657E-03   1.18291E-02   9.50981E-03   8.59172E-02   7.86677E-02   2.49812E-01
372658.18  -3.64657E-03   1.18292E-02   9.50981E-03   8.59172E-02   7.86677E-02   2.49812E-01
372658.19  -3.64656E-03   1.18292E-02   9.50981E-03   8.59172E-02   7.86677E-02   2.49812E-01
372658.19  -3.64656E-03   1.18292E-02   9.50981E-03   8.59172E-02   7.86677E-02   2.49812E-01
372658.20  -3.64655E-03   1.18292E-02   9.50981E-03   8.59172E-02   7.86677E-02   2.49812E-01
372658.20  -3.64655E-03   1.18292E-02   9.50981E-03   8.59172E-02   7.86677E-02   2.49812E-01
372658.21  -3.64655E-03   1.18293E-02   9.50981E-03   8.59172E-02   7.86677E-02   2.49812E-01
372658.21  -3.64654E-03   1.18293E-02   9.50981E-03   8.59172E-02   7.86677E-02   2.49812E-01
372658.22  -3.64654E-03   1.18293E-02   9.50981E-03   8.59172E-02   7.86677E-02   2.49812E-01
372658.22  -3.64653E-03   1.18293E-02   9.50981E-03   8.59172E-02   7.86677E-02   2.49813E-01
372658.23  -3.64653E-03   1.18293E-02   9.50981E-03   8.59172E-02   7.86677E-02   2.49813E-01
372658.23  -3.64652E-03   1.18293E-02   9.50981E-03   8.59172E-02   7.86677E-02   2.49813E-01
372658.24  -3.64652E-03   1.18294E-02   9.50981E-03   8.59172E-02   7.86677E-02   2.49813E-01
372658.24  -3.64652E-03   1.18294E-02   9.50981E-03   8.59173E-02   7.86677E-02   2.49813E-01
372658.25  -3.64651E-03   1.18294E-02   9.50981E-03   8.59173E-02   7.86677E-02   2.49813E-01
372658.25  -3.64651E-03   1.18294E-02   9.50982E-03   8.59173E-02   7.86677E-02   2.49813E-01
372658.26  -3.64650E-03   1.18294E-02   9.50982E-03   8.59173E-02   7.86677E-02   2.49813E-01
372658.26  -3.64650E-03   1.18295E-02   9.50982E-03   8.59173E-02   7.86677E-02   2.49813E-01
372658.27  -3.64649E-03   1.18295E-02   9.50982E-03   8.59173E-02   7.86677E-02   2.49813E-01
372658.27  -3.64649E-03   1.18295E-02   9.50982E-03   8.59173E-02   7.86677E-02   2.49813E-01
372658.28  -3.64649E-03   1.18295E-02   9.50982E-03   8.59173E-02   7.86677E-02   2.49813E-01
372658.28  -3.64648E-03   1.18295E-02   9.50982E-03   8.59173E-02   7.86677E-02   2.49814E-01
372658.29  -3.64648E-03   1.18296E-02   9.50982E-03   8.59173E-02   7.86677E-02   2.49814E-01
