time_s,North_m,East_m,Down_m,Vel_N_ms,Vel_E_ms,Vel_D_ms,ECEF_X_m,ECEF_Y_m,ECEF_Z_m
0.0,5.028419325825119e-10,1.1364809324296852e-10,-7.843139466332308e-10,0.0,0.0,0.0,3509420.529,779147.277,5250975.031
0.01,-2.722618142400772e-06,2.445805868127123e-05,8.211606901632419e-07,-0.0001815522150029833,0.001630525012174831,5.477784048731055e-05,3509420.528996446,779147.2770242644,5250975.030997789
0.02,-8.25080542706549e-06,6.629564771900132e-05,-1.0640608519905543e-06,-0.00042908238341010066,0.003332678017708262,-0.00010740679461718501,3509420.528992876,779147.2770663281,5250975.03099624
0.03,-1.5706560187195535e-05,0.00012358526605122427,-4.092268219859003e-06,-0.0006400790659113931,0.004930200243158437,-0.00023769327930631134,3509420.52898814,779147.2771239612,5250975.030994551
0.04,-2.5429300958870476e-05,0.0001955689228047027,-6.816147583986602e-06,-0.0008615395159147364,0.006442314405638656,-0.00026079569006473026,3509420.5289818826,779147.2771963084,5250975.030991336
0.05,-3.790281459502978e-05,0.0002823447405076508,-1.1475950814845387e-05,-0.0011187468420047746,0.00793249548126159,-0.00039760144899079813,3509420.5289757024,779147.277283825,5250975.030988175
0.06,-5.1738435879983886e-05,0.00038615927616715426,-1.8482238624645756e-05,-0.0012952925994464467,0.009565133390296009,-0.0005996135593080086,3509420.528968217,779147.2773885054,5250975.030986189
0.07,-6.741694229430727e-05,0.0005046297254567119,-2.4402496259801564e-05,-0.001477011290088484,0.011086404381804473,-0.0005945539886700478,3509420.5289584463,779147.2775076913,5250975.030982268
0.08,-8.380442982302121e-05,0.0006412582755070278,-3.098395581529923e-05,-0.0015848261913763467,0.012804046887112565,-0.0006369425966983437,3509420.5289456756,779147.2776448113,5250975.030978495
0.09,-0.00010246404266592155,0.0007923129728482312,-3.9684915429469866e-05,-0.0017722447646747914,0.014338319698513173,-0.0007924330518092562,3509420.528932776,779147.2777966801,5250975.030975197
0.1,-0.00012294554719127922,0.0009585517128920395,-4.828230903879783e-05,-0.0019561832594807115,0.01586201878822935,-0.0008373054288222549,3509420.528917999,779147.2779636859,5250975.0309707895
0.11,-0.00014540730153602142,0.0011404622100003397,-5.7648555191182525e-05,-0.002149493347961405,0.017414703767872373,-0.0009035466948491555,3509420.528901846,779147.2781464396,5250975.030965904
0.12,-0.00017000728881507094,0.0013390807416608903,-6.906915490719089e-05,-0.002356471039484275,0.01904613589335802,-0.0010625898805380837,3509420.528884926,779147.2783461377,5250975.030961514
0.13,-0.00019669529560653425,0.0015526158316405384,-7.993758336200598e-05,-0.002564693781007632,0.02058439014556021,-0.0010787495629575696,3509420.528866155,779147.2785607048,5250975.030955494
0.14,-0.00022435755895982185,0.001784386335033184,-9.16250830917755e-05,-0.002699053687280086,0.022312829646226807,-0.0011387258842229407,3509420.528844668,779147.2787933482,5250975.030949604
0.15,-0.0002544638940397449,0.0020316939326566123,-0.00010652209996633832,-0.0029067883855284004,0.023924784483834786,-0.0013727131562134586,3509420.5288235485,779147.2790419887,5250975.030944993
0.16,-0.0002870205138518232,0.0022949673990964184,-0.00012038460547884598,-0.0031393893514829554,0.025526498061928457,-0.0013816919214475049,3509420.5288003786,779147.2793065285,5250975.0309381485
0.17,-0.0003197939562469941,0.0025748818582589394,-0.00013371316884900144,-0.003231340797826827,0.02716979845687398,-0.0013491546470767377,3509420.528773484,779147.2795872876,5250975.030930741
0.18,-0.0003552789863859417,0.002870651148273495,-0.00014942854346217772,-0.003442821441516726,0.02877454600351774,-0.0014973700365836094,3509420.528746652,779147.2798843015,5250975.030923782
0.19,-0.0003948485341803361,0.0031832835227058095,-0.00016607443503407652,-0.0037855762383944315,0.030433671410703488,-0.001608831694315984,3509420.5287199733,779147.2801986231,5250975.030915296
0.2,-0.000434710683143089,0.0035111224804826972,-0.00018145178634582082,-0.003919339373210172,0.032000492542794086,-0.0015614133125124933,3509420.5286895386,779147.2805276876,5250975.030905596
0.21,-0.00047585666457549753,0.003856010042633362,-0.0001995143315279211,-0.004049510701521298,0.033659340267168415,-0.001724608238460731,3509420.5286579193,779147.2808739529,5250975.030897395
0.22,-0.0005215109939338702,0.004216508226983506,-0.0002174159410833898,-0.0043934511866353795,0.03525299722636522,-0.0017682946211971943,3509420.5286264676,779147.2812362461,5250975.030886525
0.23,-0.0005682261988706682,0.004593950904618328,-0.0002353485775343164,-0.004578844207560003,0.03691384419011661,-0.0017849248969128253,3509420.528592217,779147.281615275,5250975.030875085
0.24,-0.0006175675881026932,0.004987692909136196,-0.0002549927579513859,-0.004815698378435432,0.038554080480379206,-0.0019045841602457468,3509420.528557493,779147.282010895,5250975.030863583
